conversion_path,user_count,total_sessions,total_transactions
Referral > Direct,319,638,18
Paid Search > Organic Search > Organic Search,138,412,18
Direct > Direct > Referral > Referral,57,228,18
Direct > Direct > Direct > Referral,57,228,18
Direct > Referral > Referral > Referral > Referral > Referral,34,204,18
Direct > Direct > Referral,176,527,17
Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search,39,507,17
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,30,419,17
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,27,296,17
Direct > Organic Search > Organic Search,193,576,16
Display > Display,198,396,16
Referral > Organic Search > Referral,112,336,16
Direct > Referral > Referral > Referral > Referral > Referral > Referral > Referral,14,112,16
Organic Search > Organic Search > Referral,187,560,15
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,3,87,15
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,31,403,14
Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,70,350,14
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,4,112,14
Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search,80,796,13
Referral > Referral > Organic Search,126,377,13
Organic Search > Organic Search > Paid Search,145,433,12
Referral > Direct > Referral,78,232,12
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,2,52,12
Organic Search > Organic Search > Display,81,243,11
Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral,13,208,11
Direct > Referral > Referral > Referral > Referral > Referral > Referral,20,140,11
Referral > Organic Search > Referral > Referral > Referral,15,75,11
Direct > Referral > Referral > Referral > Display > Display > Display > Organic Search > Referral > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search,1,34,11
Organic Search > Organic Search > Organic Search > Referral > Referral > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Direct > Organic Search > Organic Search > Paid Search,1,28,11
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search,1,22,11
Direct > Direct > Organic Search,136,404,10
Organic Search > Paid Search > Paid Search,133,398,10
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,9,180,10
Referral > Referral > Referral > Organic Search,40,160,10
Direct > Direct > Referral > Referral > Referral,32,159,10
Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral,7,126,10
Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Direct > Direct > Direct > Direct > Organic Search > Direct > Direct > Direct > Organic Search,1,41,10
Organic Search > Organic Search > Organic Search > Paid Search > Organic Search > Organic Search > Organic Search > Organic Search > Referral > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Referral > Referral > Paid Search > Organic Search > Paid Search > Paid Search > Paid Search > Paid Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search,1,29,10
Social > Social > Social,1307,3915,9
Organic Search > Display,491,982,9
